timestamp,trigger_value,status,sound_type,freq_level,db_level,block,trial_index
1746261419.2726529,42,trial_end,小提琴,中,35,0,91
1746261420.2809618,171,trial_start,小提琴,中,50,0,92
1746261420.808532,43,trial_end,小提琴,中,50,0,92
1746261421.8177161,171,trial_start,小提琴,中,50,0,93
1746261422.345704,43,trial_end,小提琴,中,50,0,93
1746261423.3538795,171,trial_start,小提琴,中,50,0,94
1746261423.866223,43,trial_end,小提琴,中,50,0,94
1746261424.8746767,169,trial_start,小提琴,中,20,0,95
1746261425.4031458,41,trial_end,小提琴,中,20,0,95
1746261426.4115412,169,trial_start,小提琴,中,20,0,96
1746261426.9390352,41,trial_end,小提琴,中,20,0,96
1746261427.947238,171,trial_start,小提琴,中,50,0,97
1746261428.4763339,43,trial_end,小提琴,中,50,0,97
1746261429.4847558,171,trial_start,小提琴,中,50,0,98
1746261430.0122519,43,trial_end,小提琴,中,50,0,98
1746261431.020549,171,trial_start,小提琴,中,50,0,99
1746261431.549388,43,trial_end,小提琴,中,50,0,99
1746261432.5578022,169,trial_start,小提琴,中,20,0,100
1746261433.0852487,41,trial_end,小提琴,中,20,0,100
1746261434.09443,171,trial_start,小提琴,中,50,0,101
1746261434.6226547,43,trial_end,小提琴,中,50,0,101
